index,type,l,b,distance,metallicity
0,open,219.02,83.8,87,0.07
1,open,166.2,-23.49,130,-0.04
2,open,277.53,-7.83,141,-0.29
3,open,289.48,-4.97,151,-0.1
4,open,270.33,-6.87,165,-0.16
5,open,147.48,-6.53,175,0
6,open,205.89,32.48,187,0.09
7,open,252.5,-7.68,188,-0.53
8,open,344.24,-9.32,218,-0.58
9,open,309.26,3.04,246,0
10,open,14.83,-79.1,250,-0.19
11,open,21,-12.72,270,0
12,open,180.47,-10.79,275,NaN
13,open,26.81,14.67,302,NaN
14,open,355.86,-4.47,303,0.14
15,open,257.83,-15.4,311,-0.28
16,open,202.02,-18.43,313,NaN
17,open,204.86,-19.49,314,NaN
18,open,210.12,-19.59,314,NaN
19,open,188.88,-10.88,325,NaN
21,open,243.07,-9.3,330,NaN
20,open,214.54,-7.41,330,0.32
22,open,64.38,12.67,350,NaN
23,open,60.21,2.24,350,NaN
24,open,30.59,17.09,352,-0.03
25,open,356.61,-0.75,356,0.21
26,open,249.02,-11.11,361,-0.22
27,open,264.43,-8.63,361,-0.16
28,open,67.98,11.63,363,NaN
29,open,273.8,-15.87,373,-0.37
30,open,66.8,15.37,373,NaN
31,open,297,-15.72,380,NaN
32,open,288.1,-2.04,384,-0.38
33,open,36.01,8.31,385,0.06
34,open,244.93,-7.68,386,-0.1
35,open,343.83,-16.99,386,NaN
36,open,201.66,-17.52,394,NaN
37,open,201.07,-18.53,397,NaN
38,open,219.34,12.34,397,NaN
39,open,133.33,-1.74,400,-0.14
40,open,279.03,-33.6,406,-0.33
41,open,195.17,-12.01,411,NaN
42,open,262.7,0.65,417,NaN
43,open,257.31,-3.51,429,NaN
44,open,111.44,-8.49,430,NaN
45,open,65.78,-3.85,432,-0.02
46,open,187.7,-21.13,437,-0.1
47,open,136.99,-23.29,450,-0.09
48,open,289.58,1.38,454,0.02
49,open,117.65,-3.71,470,NaN
50,open,230.97,3.14,471,0.01
51,open,209.67,7.02,477,NaN
52,open,70.31,3.48,479,NaN
53,open,160.5,-17.81,480,NaN
54,open,36.37,5.26,483,-0.15
55,open,252.05,-6.73,489,-0.45
56,open,309.71,-1.34,491,0.03
57,open,62.77,2.2,494,NaN
58,open,286.25,-14.07,496,NaN
60,open,171.75,3.53,500,NaN
61,open,110.46,-12.52,500,NaN
59,open,174.9,16.88,500,0.13
62,open,314.21,-6.09,501,NaN
63,open,82.89,-6.65,501,NaN
64,open,71.45,0.22,508,NaN
65,open,283.82,-0.52,509,NaN
66,open,143.66,-15.58,510,0.07
67,open,347.73,1.98,512,NaN
68,open,31.64,-20.98,513,NaN
69,open,286.52,-0.58,517,NaN
70,open,152.27,6.38,520,NaN
71,open,123.8,-7.01,523,NaN
72,open,40.38,-10.76,525,NaN
73,open,354.27,-1.92,526,NaN
74,open,250.08,-5.97,541,NaN
75,open,67.4,-11.43,543,NaN
76,open,52.81,8.75,546,NaN
77,open,123.15,-1.27,550,NaN
78,open,168.42,3.08,550,NaN
79,open,257.42,1.63,550,NaN
80,open,308.66,3.57,550,NaN
81,open,40.31,12.63,550,NaN
82,open,264.95,-10.44,553,NaN
83,open,340.73,6.03,559,NaN
84,open,13.7,-4.41,561,-0.26
85,open,281.7,1.32,564,NaN
86,open,221.95,5.32,569,NaN
87,open,87.46,9.31,569,NaN
88,open,283.06,3.3,570,NaN
89,open,180.3,-16.73,572,NaN
90,open,280.7,4.55,573,NaN
91,open,241.58,-2.52,576,NaN
92,open,314.68,3.98,586,NaN
93,open,97.06,1,590,NaN
94,open,14.16,-5.55,591,0.13
95,open,6.4,-0.22,593,NaN
96,open,223.39,-0.01,596,NaN
97,open,163.04,-1.87,600,NaN
98,open,167.51,14.42,600,NaN
99,open,99.29,3.74,600,NaN
100,open,95.47,-17.86,600,NaN
101,open,46.82,-9.26,603,NaN
102,open,297.32,-2.29,610,NaN
103,open,196.87,-10.61,612,NaN
104,open,313.67,-5.55,613,-0.15
105,open,0.15,-0.82,614,NaN
106,open,259.75,0.47,619,NaN
107,open,285.36,-0.88,619,NaN
108,open,328.09,1.13,619,NaN
109,open,138.06,4.49,620,NaN
110,open,211.4,-10.49,621,NaN
111,open,284.36,0.88,626,NaN
112,open,259.31,3.46,629,NaN
113,open,155.73,6.86,630,NaN
114,open,143.34,-0.07,632,0.46
115,open,29.65,12.65,640,NaN
116,open,246.12,1.87,642,0.21
117,open,15.35,7.63,644,NaN
118,open,9.86,2.87,648,0.09
119,open,301.47,-4.42,650,NaN
120,open,274.92,-5.89,656,NaN
121,open,155.02,-15.32,665,-0.16
122,open,14.89,-9.24,668,NaN
123,open,15.41,-9.58,669,-0.31
124,open,137.43,-3.91,670,NaN
125,open,58.85,-1.87,672,NaN
126,open,312.18,1.79,673,NaN
127,open,15.88,-7.92,679,NaN
128,open,44.38,3.1,686,NaN
129,open,83.09,-9.9,689,NaN
130,open,6.56,1.94,690,NaN
131,open,351.73,-3.3,698,NaN
132,open,155.62,-17.79,700,NaN
133,open,90.54,2.25,700,NaN
134,open,101.67,-11.39,700,NaN
135,open,110.91,2.77,700,NaN
136,open,266.66,-3.59,701,NaN
137,open,259.34,0.92,702,NaN
138,open,297.63,1.74,703,NaN
139,open,306.75,0.13,703,NaN
140,open,232.97,2.85,707,0.13
141,open,308.38,3.13,709,NaN
142,open,244.97,-3.71,714,NaN
143,open,297.68,-1.48,719,NaN
144,open,56.17,3.31,724,NaN
145,open,302.41,2.18,731,NaN
146,open,15.55,0.93,731,NaN
147,open,79.8,-4.22,736,NaN
148,open,264.51,1.44,737,NaN
149,open,210.88,3.75,747,NaN
150,open,270.27,0.84,748,NaN
151,open,284,-1.62,749,NaN
152,open,123.24,-13.39,750,NaN
153,open,284.96,-0.34,750,NaN
154,open,97.45,-2.49,750,NaN
155,open,79.43,2.55,758,NaN
156,open,0.63,-8.13,759,NaN
157,open,18.92,-1.5,765,NaN
158,open,356.93,-1.55,767,-0.61
159,open,237.94,-9.61,767,NaN
160,open,231.01,-10.44,769,0.04
161,open,94.39,-5.51,770,NaN
162,open,208.1,-7.91,771,NaN
163,open,117.62,2.27,774,NaN
164,open,275.91,-1.24,774,NaN
165,open,299.02,-7.25,774,NaN
166,open,54.89,-1.58,774,NaN
167,open,258.24,0.33,780,NaN
168,open,117.2,5.84,780,NaN
169,open,281.04,-0.16,786,NaN
170,open,213.47,5.68,787,NaN
171,open,54.6,-3.42,788,NaN
173,open,311.75,3.32,789,NaN
172,open,227.89,15.38,789,0.08
174,open,266.37,-12.88,792,NaN
175,open,321.59,3.6,794,0.05
176,open,173.86,-0.61,797,NaN
177,open,286.4,-6.88,797,NaN
178,open,213.34,-12.6,799,NaN
179,open,297.73,2.94,800,-0.25
181,open,127.46,9.42,800,NaN
182,open,179.12,-10.48,800,NaN
183,open,163.43,3.33,800,NaN
184,open,320.52,-7.71,800,NaN
185,open,1.53,-12.96,800,NaN
186,open,106.66,5.29,800,NaN
180,open,104.01,6.46,800,0.16
188,open,112.98,-1.54,805,NaN
187,open,212.55,0.28,805,0.06
189,open,339.91,-0.27,806,NaN
190,open,353.98,3.01,807,NaN
191,open,316.31,5.61,808,NaN
192,open,122.84,3.09,810,NaN
193,open,324.62,-4.7,810,NaN
194,open,234.31,-4.65,813,NaN
195,open,219.1,-1.6,814,NaN
196,open,273.09,-16.31,816,NaN
197,open,353.01,0.26,816,NaN
198,open,28.97,-0.59,818,NaN
199,open,286.73,2.6,819,0.2
200,open,289.59,-1.24,823,0.04
201,open,230.46,3.55,824,0.07
202,open,214.76,-0.13,826,NaN
203,open,299.66,-2.1,826,NaN
204,open,186.6,2.26,830,-0.16
205,open,217.15,-12.53,830,NaN
206,open,2.2,-2.29,830,NaN
207,open,67.06,-3.06,831,NaN
208,open,4.41,16.75,834,NaN
209,open,150.56,-9.24,837,NaN
210,open,355.15,8.02,838,NaN
211,open,69.48,7.19,841,NaN
213,open,79.32,-0.01,844,NaN
212,open,69.85,-7.15,844,0.01
214,open,262.51,1.49,846,NaN
215,open,121.95,-1.08,850,NaN
216,open,134.68,0.06,850,NaN
217,open,328.8,2.86,850,NaN
218,open,98.85,-5.55,850,NaN
219,open,117.21,5.84,850,NaN
220,open,64.75,2.51,852,NaN
221,open,70.44,1.41,852,NaN
222,open,83.99,-1.09,852,NaN
223,open,82.33,0.72,857,NaN
224,open,353.11,-4.93,858,-0.04
225,open,306,2.66,860,NaN
226,open,9.41,-1.64,861,NaN
227,open,153.38,0.2,863,-0.06
228,open,173.22,-3.51,868,NaN
229,open,327.89,1.82,869,NaN
230,open,232.75,0.77,870,NaN
231,open,248.59,0.79,871,NaN
232,open,320.04,-2.74,871,NaN
233,open,78.09,2.78,871,NaN
234,open,112.7,3.21,871,NaN
235,open,323.56,-5.45,884,NaN
236,open,78.15,3.51,884,NaN
237,open,340.09,-7.91,888,-0.13
238,open,215.68,31.92,890,-0.1
239,open,334.92,-0.2,892,0.15
240,open,237.2,2.16,893,NaN
241,open,332.39,-1.69,895,NaN
242,open,335.1,-0.31,898,NaN
243,open,264.39,-7.33,899,NaN
244,open,131.28,-4.86,900,NaN
245,open,206.22,-1.31,900,NaN
246,open,106.52,-8.41,900,NaN
247,open,110.03,-5.93,900,NaN
248,open,80.25,0.96,901,NaN
249,open,221.66,-1.33,902,NaN
250,open,186.76,-5.4,912,NaN
251,open,262.39,-2.14,912,NaN
252,open,320.82,1.59,912,NaN
253,open,86.21,0.79,912,NaN
254,open,297.06,1.4,920,NaN
